15	4	1.50000000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2	3	5	6	2	7	8	2	1	8	9	4	8	10	2	1	6	7	2	5	7	1	3	7	9	2	4	5	7	2	6	8	2	4	5	6	1	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1	3	7	8	2	1	6	8	2	5	6	1	4	6	8	2	4	5	7	2	6	8	2	1	8	9	2	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	2	4	7	10	3	9	10	2	3	5	6	2	7	10	2	4	5	6	1	5	6	2	1	8	10	4	8	9	2	1	6	8	2	5	7	1	4	6	7	2	1	8	11	2	6	8	2	4	9	10	3	6	7	0
7	2	4	5	6	1	5	6	2	4	7	8	3	9	10	2	1	8	10	4	8	10	1	4	8	9	2	1	8	9	2	6	8	2	4	5	6	2	6	8	1	4	6	8	0	0	0	0	0	0	0	0	0	0	0
6	2	3	7	9	1	5	6	2	4	6	7	2	7	9	2	4	7	9	3	9	10	1	3	8	9	2	3	5	7	2	7	9	2	1	8	9	2	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	1	4	6	7	2	4	5	7	2	6	8	1	3	8	9	2	3	7	8	1	5	6	2	4	6	7	2	7	8	1	4	8	9	2	1	8	11	2	6	7	2	1	8	10	4	8	10	2	4	5	7	1	5	7
5	1	3	8	11	2	4	7	9	3	9	11	2	1	6	7	2	5	6	2	4	6	7	2	7	9	1	3	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	2	3	7	8	1	5	6	1	3	8	11	2	4	7	10	3	9	12	2	4	5	7	1	5	6	1	3	7	9	1	4	8	10	2	4	9	11	3	6	8	2	1	6	8	2	5	7	0	0	0	0	0	0	0
9	2	3	5	7	2	7	8	1	4	8	10	2	4	5	7	2	6	7	2	1	6	7	2	5	6	1	4	6	8	2	1	8	9	4	9	10	2	1	8	10	4	8	9	2	1	8	9	2	6	7	1	3	7	8
9	2	1	8	10	2	6	8	2	1	8	9	4	8	9	2	1	8	9	4	9	11	2	4	9	10	3	6	8	2	1	6	8	2	5	7	1	3	8	11	1	3	7	8	1	4	6	8	2	4	5	6	2	6	8
7	2	1	8	10	2	6	8	2	1	8	9	4	8	9	2	1	6	8	2	5	6	1	3	7	8	1	4	6	8	1	3	8	9	2	4	9	11	3	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	1	4	8	9	1	3	7	10	2	4	7	8	3	9	11	2	1	6	7	2	5	6	1	3	8	9	2	1	8	9	4	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1	4	8	10	2	4	9	12	3	6	7	2	1	8	9	4	8	9	2	4	6	8	2	7	9	2	4	6	7	2	7	10	2	1	8	9	2	6	7	2	3	7	8	1	5	6	0	0	0	0	0	0	0	0
7	2	1	6	8	2	5	6	2	3	7	9	1	5	7	2	1	8	9	4	8	10	2	1	8	9	2	6	7	2	4	5	7	1	5	6	2	4	6	7	2	7	9	1	4	6	7	0	0	0	0	0	0	0	0
7	1	3	8	9	2	1	8	10	4	9	12	2	4	9	10	3	6	8	1	3	7	10	2	4	5	7	2	6	7	2	1	8	9	2	6	8	2	1	6	8	2	5	6	0	0	0	0	0	0	0	0	0	0	0
