15	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	1	1	6	7	2	1	6	7	7	9	12	2	6	7	9	3	1	2	2	4	2	3	7	5	7	3	1	8	9	3	9	12	8	9	12	3	2	3	4	4	8	9	3	2	3	2	5	5	6	6	7	8	2	6	1	2	4	7	9	0	0	0	0
7	1	6	1	2	2	6	1	2	4	7	9	1	1	6	8	2	6	7	8	3	1	2	3	2	3	4	4	8	9	3	2	3	1	6	2	3	1	7	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	1	6	1	2	3	2	3	4	4	8	10	3	2	3	3	3	2	3	7	1	2	4	4	5	2	4	2	3	7	5	7	2	1	7	9	3	7	8	2	4	4	5	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1	7	2	3	1	1	6	8	2	1	6	7	7	9	10	2	6	7	8	3	1	2	2	4	5	6	5	7	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1	7	2	3	2	1	6	7	7	9	10	2	4	4	5	3	1	2	3	1	8	9	3	9	10	8	9	12	2	1	7	8	3	7	8	3	2	3	4	4	8	11	3	2	3	2	4	5	6	5	7	10	0	0	0	0	0	0	0	0	0	0	0
9	1	6	2	3	2	4	4	5	3	1	2	3	3	2	3	7	1	2	4	4	6	2	6	1	2	4	7	8	2	4	5	6	5	7	9	3	1	8	10	3	9	12	8	9	11	2	1	7	9	3	7	10	1	6	1	2	2	1	6	8	7	9	11
5	2	5	5	7	6	7	10	2	1	7	9	3	7	10	2	6	1	2	4	7	9	1	6	2	3	2	6	7	9	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2	4	5	7	5	7	9	2	5	5	6	6	7	8	3	2	3	4	4	8	9	3	2	3	1	6	2	3	1	6	1	2	2	1	6	7	7	9	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	1	1	6	8	2	1	6	7	7	9	12	2	4	4	5	3	1	2	3	1	8	9	3	9	11	8	9	10	2	4	2	3	7	5	6	2	6	1	2	4	7	9	1	7	2	3	2	1	7	8	3	7	8	3	2	3	4	4	8	9	3	2	3
5	2	5	5	6	6	7	8	1	1	6	7	1	7	2	3	2	4	5	6	5	7	8	2	1	6	8	7	9	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	3	1	8	10	3	9	12	8	9	11	1	1	6	7	3	2	3	4	4	8	11	3	2	3	2	4	2	3	7	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2	4	2	3	7	5	7	1	6	1	2	1	1	6	7	2	1	7	9	3	7	10	3	1	8	9	3	9	10	8	9	11	1	7	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	6	2	3	2	6	7	8	3	1	2	2	6	1	2	4	7	8	2	5	5	7	6	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2	5	5	6	6	7	8	1	6	1	2	2	4	2	3	7	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2	4	5	7	5	7	8	1	7	2	3	3	1	8	11	3	9	12	8	9	12	3	2	3	4	4	8	10	3	2	3	3	3	2	3	7	1	2	4	4	5	1	1	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
