10	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2	1	5	6	3	4	6	3	5	3	4	3	5	6	2	1	2	2	3	4	6	6	2	3	3	6	5	6	2	6	8	1	1	2	1	3	1	2	3	6	6	7	3	6	7	4	3	4
5	1	2	6	8	1	3	1	2	1	1	2	3	2	2	6	8	4	6	8	3	6	5	7	2	6	8	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1	2	6	7	2	3	4	6	6	2	3	3	6	5	6	2	6	8	1	1	2	3	3	4	5	2	6	8	6	6	7	2	1	1	2	5	5	7	0	0	0	0	0	0	0	0	0	0
5	3	6	5	6	2	6	7	1	1	2	1	2	6	8	1	3	1	2	3	5	3	4	3	5	7	2	1	2	2	3	4	5	6	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
6	3	5	3	4	3	5	7	2	1	2	3	6	5	7	2	6	8	1	1	2	1	2	6	8	2	1	5	6	3	4	5	2	2	6	7	4	6	8	3	3	4	5	2	6	7	6	6	8
6	2	3	4	5	6	2	3	1	1	2	3	3	3	4	5	2	6	8	6	6	7	1	2	6	8	3	6	5	6	2	6	7	1	1	2	2	1	3	4	4	2	3	0	0	0	0	0	0
5	1	6	1	2	2	1	3	4	4	2	3	3	3	4	5	2	6	8	6	6	7	3	2	6	7	5	1	2	1	6	7	1	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
5	2	3	4	6	6	2	3	3	3	4	5	2	6	8	6	6	8	3	6	5	7	2	6	8	1	1	2	1	2	6	8	2	2	6	7	4	6	7	0	0	0	0	0	0	0	0	0	0
6	1	6	1	2	2	1	1	2	5	5	6	3	6	6	8	3	6	8	4	3	4	1	1	2	3	3	3	4	5	2	6	7	6	6	7	2	2	6	8	4	6	7	0	0	0	0	0	0
6	2	3	4	5	6	2	3	3	3	4	5	2	6	7	6	6	8	3	5	3	4	3	5	7	2	1	2	1	6	1	2	2	2	6	8	4	6	8	2	1	3	4	4	2	3	0	0	0
